BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,2,1,ANATOMY,HATE,Unrelated,907,1431,122,222,201,338.8,rm_hit
Main,2,2,LOBE,EAR,Related,1010,1412,112,212,201,617.8,rm_hit
Main,2,3,HAPPY,CORN,Unrelated,1039,1457,122,222,NaN,-157261.9,rm_miss
Main,2,4,SOBER,FUNNY,Unrelated,1051,1434,122,222,201,589.1,rm_hit
Main,2,5,DAGGER,JEANS,Unrelated,927,1433,122,222,201,631.3,rm_hit
Main,2,6,SWIFT,TEST,Unrelated,975,1405,122,222,201,543.7,rm_hit
Main,2,7,LEFT,RIGHT,Related,933,1585,112,212,201,323.2,rm_hit
Main,2,8,CRIB,BABY,Related,913,1479,112,212,201,424.2,rm_hit
Main,2,9,GLANCE,END,Unrelated,1037,1451,122,222,201,924.5,rm_hit
Main,2,10,CROCODILE,ON,Unrelated,965,1450,122,222,201,652.9,rm_hit
Main,2,11,DIME,PICKLE,Unrelated,980,1474,122,222,201,612.5,rm_hit
Main,2,12,ONCE,FISH,Unrelated,1052,1437,122,222,201,536.1,rm_hit
Main,2,13,BRIDE,GROOM,Related,937,1568,112,212,201,730.3,rm_hit
Main,2,14,BOX,PANTS,Unrelated,1037,1426,122,222,201,667.4,rm_hit
Main,2,15,STING,SHE,Unrelated,1033,1469,122,222,201,953.6,rm_hit
Main,2,16,SHOVE,PUSH,Related,1083,1525,112,212,201,732.6,rm_hit
Main,2,17,MIGRAINE,HEADACHE,Related,949,1586,112,212,201,762.2,rm_hit
Main,2,18,FROSTING,PIZZA,Unrelated,1023,1430,122,222,201,698.5,rm_hit
Main,2,19,MARGARINE,BUTTER,Related,933,1489,112,212,201,676.9,rm_hit
Main,2,20,HAMMER,NAIL,Related,1093,1548,112,212,201,909.9,rm_hit
Main,2,21,TARDY,LATE,Related,1031,1446,112,212,201,358.1,rm_hit
Main,2,22,FIB,LIE,Related,940,1421,112,212,201,543,rm_hit
Main,2,23,BEETLE,FROG,Unrelated,970,1485,122,222,201,576.7,rm_hit
Main,2,24,CRACKLE,TREE,Unrelated,923,1492,122,222,201,768.9,rm_hit
Main,2,25,UNSOLVED,AFTER,Unrelated,924,1442,122,222,201,896.5,rm_hit
Main,2,26,YES,NO,Related,1066,1578,112,212,201,316.8,rm_hit
Main,2,27,CASH,MONEY,Related,976,1538,112,212,201,711.1,rm_hit
Main,2,28,MARROW,BONE,Related,962,1557,112,212,201,484.1,rm_hit
Main,2,29,PROFIT,UNCLE,Unrelated,994,1522,122,222,201,702.4,rm_hit
Main,2,30,PEANUT,RUN,Unrelated,996,1451,122,222,201,706.1,rm_hit
Main,2,31,FLIPPER,DOLPHIN,Related,1063,1413,112,212,202,894.4,rm_incorrect
Main,2,32,HUSBAND,WIFE,Related,1084,1457,112,212,201,771.4,rm_hit
Main,2,33,EMPLOYMENT,CAT,Unrelated,1060,1473,122,222,201,631.1,rm_hit
Main,2,34,NAP,SLEEP,Related,931,1579,112,212,201,935.3,rm_hit
Main,2,35,YOLK,EGG,Related,1061,1438,112,212,202,798.3,rm_incorrect
Main,2,36,CINEMA,MOVIE,Related,1025,1475,112,212,201,748.7,rm_hit
Main,2,37,MOM,DAD,Related,946,1478,112,212,201,676.2,rm_hit
Main,2,38,WALLET,STOP,Unrelated,934,1521,122,222,201,940.6,rm_hit
Main,2,39,IN,OUT,Related,1020,1403,112,212,201,424.2,rm_hit
Main,2,40,HINGE,CHEESE,Unrelated,962,1519,122,222,201,546.5,rm_hit
Main,2,41,UP,DOWN,Related,962,1574,112,212,201,452.4,rm_hit
Main,2,42,QUENCH,THIRST,Related,1085,1493,112,212,201,466.9,rm_hit
Main,2,43,SOCK,FLOWERS,Unrelated,983,1487,122,222,201,680.4,rm_hit
Main,2,44,BROOM,SWEAT,Unrelated,1089,1523,122,222,201,754.8,rm_hit
Main,2,45,REMAIN,STAY,Related,1068,1455,112,212,201,915.9,rm_hit
Main,2,46,SHINGLE,CHAIR,Unrelated,966,1537,122,222,201,731.5,rm_hit
Main,2,47,HIM,HER,Related,953,1574,112,212,201,353,rm_hit
Main,2,48,IMMEDIATE,FIGHT,Unrelated,1069,1529,122,222,201,616,rm_hit
Main,2,49,ESCARGOT,TIRED,Unrelated,1050,1455,122,222,201,921.7,rm_hit
Main,2,50,WARDROBE,CLOTHES,Related,963,1512,112,212,201,1497.3,rm_hit
Main,2,51,LIBRARY,BOOK,Related,955,1578,112,212,201,719.7,rm_hit
Main,2,52,BROTHER,SISTER,Related,947,1560,112,212,201,547.3,rm_hit
Main,2,53,DESIRE,DOCTOR,Unrelated,931,1551,122,222,202,824.4,rm_incorrect
Main,2,54,PRIM,HIGH,Unrelated,918,1536,122,222,201,1134.6,rm_hit
Main,2,55,WICK,CANDLE,Related,998,1590,112,212,201,1578.2,rm_hit
Main,2,56,SALTINE,CRACKER,Related,975,1562,112,212,201,571.9,rm_hit
Main,2,57,QUIVER,DUCK,Unrelated,1010,1480,122,222,201,581.6,rm_hit
Main,2,58,COMPREHEND,UNDERSTAND,Related,922,1564,112,212,201,830.6,rm_hit
Main,2,59,PARROT,DRAW,Unrelated,991,1596,122,222,201,696.9,rm_hit
Main,2,60,HONK,PUZZLE,Unrelated,1026,1484,122,222,201,760.6,rm_hit
Main,1,61,BREEZE,SLEEP,Unrelated,915,1500,121,221,201,954.6,rm_hit
Main,1,62,HE,SHE,Related,1099,1463,111,211,201,347.6,rm_hit
Main,1,63,HILARIOUS,FUNNY,Related,905,1471,111,211,201,557.7,rm_hit
Main,1,64,AUNT,UNCLE,Related,945,1549,111,211,201,398.1,rm_hit
Main,1,65,TABLE,CHAIR,Related,1069,1421,111,211,201,798.4,rm_hit
Main,1,66,PERSPIRE,SWEAT,Related,1051,1537,111,211,201,596.7,rm_hit
Main,1,67,BAIT,LATE,Unrelated,945,1435,121,221,201,610.3,rm_hit
Main,1,68,RAYS,BUTTER,Unrelated,962,1449,121,221,201,883.3,rm_hit
Main,1,69,DEPART,CRACKER,Unrelated,972,1493,121,221,201,707.5,rm_hit
Main,1,70,HALT,STOP,Related,1019,1505,111,211,201,879.9,rm_hit
Main,1,71,CLEVER,EAR,Unrelated,978,1463,121,221,201,717.5,rm_hit
Main,1,72,PHYSICIAN,DOCTOR,Related,932,1426,111,211,201,1046.5,rm_hit
Main,1,73,DILL,PICKLE,Related,1088,1432,111,211,201,738.7,rm_hit
Main,1,74,DILEMMA,THIRST,Unrelated,968,1402,121,221,201,899.7,rm_hit
Main,1,75,STONE,WIFE,Unrelated,972,1559,121,221,201,941.9,rm_hit
