BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,2,1,FLIPPER,DOLPHIN,Related,1033,1425,112,212,202,1128.5,rm_incorrect
Main,2,2,IMMEDIATE,FIGHT,Unrelated,982,1524,122,222,201,832.7,rm_hit
Main,2,3,SALTINE,CRACKER,Related,977,1555,112,212,201,925.1,rm_hit
Main,2,4,WALLET,STOP,Unrelated,998,1435,122,222,201,783.4,rm_hit
Main,2,5,STING,SHE,Unrelated,1003,1576,122,222,201,982.9,rm_hit
Main,2,6,EMPLOYMENT,CAT,Unrelated,1012,1577,122,222,201,775.9,rm_hit
Main,2,7,BEETLE,FROG,Unrelated,936,1452,122,222,201,892.3,rm_hit
Main,2,8,HONK,PUZZLE,Unrelated,1039,1496,122,222,201,1226,rm_hit
Main,2,9,BROTHER,SISTER,Related,993,1600,112,212,201,734.9,rm_hit
Main,2,10,ESCARGOT,TIRED,Unrelated,996,1543,122,222,201,840,rm_hit
Main,2,11,PEANUT,RUN,Unrelated,915,1528,122,222,201,838.2,rm_hit
Main,2,12,COMPREHEND,UNDERSTAND,Related,1078,1480,112,212,201,1134.5,rm_hit
Main,2,13,SOBER,FUNNY,Unrelated,1008,1448,122,222,201,1107.5,rm_hit
Main,2,14,PARROT,DRAW,Unrelated,908,1474,122,222,201,1205.8,rm_hit
Main,2,15,BROOM,SWEAT,Unrelated,953,1471,122,222,201,1309.4,rm_hit
Main,2,16,DAGGER,JEANS,Unrelated,1039,1570,122,222,201,874.3,rm_hit
Main,2,17,LEFT,RIGHT,Related,1063,1567,112,212,201,786.1,rm_hit
Main,2,18,ANATOMY,HATE,Unrelated,959,1433,122,222,201,1165.7,rm_hit
Main,2,19,DIME,PICKLE,Unrelated,1074,1549,122,222,201,985.9,rm_hit
Main,2,20,HIM,HER,Related,1065,1423,112,212,201,842.3,rm_hit
Main,2,21,YOLK,EGG,Related,964,1539,112,212,201,950.1,rm_hit
Main,2,22,CINEMA,MOVIE,Related,1032,1482,112,212,201,839.7,rm_hit
Main,2,23,FROSTING,PIZZA,Unrelated,1073,1478,122,222,201,1018.1,rm_hit
Main,2,24,REMAIN,STAY,Related,940,1508,112,212,201,793.7,rm_hit
Main,2,25,PRIM,HIGH,Unrelated,1049,1518,122,222,201,836,rm_hit
Main,2,26,LOBE,EAR,Related,1039,1462,112,212,201,1086.9,rm_hit
Main,2,27,CRIB,BABY,Related,998,1520,112,212,201,973.3,rm_hit
Main,2,28,QUENCH,THIRST,Related,1036,1454,112,212,202,928.2,rm_incorrect
Main,2,29,MOM,DAD,Related,918,1478,112,212,201,658.6,rm_hit
Main,2,30,YES,NO,Related,1054,1545,112,212,201,790.2,rm_hit
Main,2,31,CRACKLE,TREE,Unrelated,1002,1485,122,222,201,817.1,rm_hit
