BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,PERSPIRE,SWEAT,Related,1093,1583,111,211,201,838.8,rm_hit
Main,1,2,WEARY,STAY,Unrelated,996,1516,121,221,201,848.5,rm_hit
Main,1,3,HE,SHE,Related,900,1446,111,211,201,672.8,rm_hit
Main,1,4,AUNT,UNCLE,Related,937,1497,111,211,201,706.3,rm_hit
Main,1,5,SKETCH,DRAW,Related,1028,1554,111,211,201,670.1,rm_hit
Main,1,6,BEGINNING,END,Related,1085,1407,111,211,201,637.8,rm_hit
Main,1,7,NOVEL,NAIL,Unrelated,908,1493,121,221,201,817.3,rm_hit
Main,1,8,EVEN,CANDLE,Unrelated,951,1434,121,221,201,904.2,rm_hit
Main,1,9,OAK,TREE,Related,978,1517,111,211,201,712.6,rm_hit
Main,1,10,TABLE,CHAIR,Related,962,1522,111,211,201,782.1,rm_hit
Main,1,11,LOW,HIGH,Related,1036,1556,111,211,201,704.5,rm_hit
Main,1,12,BRAWL,FIGHT,Related,921,1429,111,211,201,694.1,rm_hit
Main,1,13,HILARIOUS,FUNNY,Related,1034,1525,111,211,201,636.5,rm_hit
Main,1,14,ROAR,SISTER,Unrelated,948,1508,121,221,201,850,rm_hit
Main,1,15,SPLASH,HER,Unrelated,925,1432,121,221,201,769,rm_hit
Main,1,16,BOUQUET,FLOWERS,Related,1094,1425,111,211,201,636.7,rm_hit
Main,1,17,FOLLOW,PUSH,Unrelated,1003,1564,121,221,201,916.2,rm_hit
Main,1,18,TOAD,FROG,Related,1038,1576,111,211,201,749.3,rm_hit
Main,1,19,QUACK,DUCK,Related,1074,1509,111,211,201,819.7,rm_hit
Main,1,20,DILEMMA,THIRST,Unrelated,1045,1491,121,221,201,870.1,rm_hit
Main,1,21,CLIMBER,CLOTHES,Unrelated,1062,1400,121,221,201,665.3,rm_hit
Main,1,22,CHEDDAR,CHEESE,Related,1065,1598,111,211,201,743.6,rm_hit
Main,1,23,SOBER,EGG,Unrelated,1048,1412,121,221,201,926.7,rm_hit
Main,1,24,SCENT,GROOM,Unrelated,914,1427,121,221,202,1578.2,rm_incorrect
Main,1,25,BAIT,LATE,Unrelated,989,1402,121,221,201,858.6,rm_hit
Main,1,26,OFF,ON,Related,1028,1586,111,211,201,546.1,rm_hit
Main,1,27,STONE,WIFE,Unrelated,998,1488,121,221,201,1099.9,rm_hit
Main,1,28,TOSS,UNDERSTAND,Unrelated,961,1525,121,221,201,866.7,rm_hit
Main,1,29,QUIZ,TEST,Related,933,1496,111,211,201,617.1,rm_hit
Main,1,30,WRENCH,BABY,Unrelated,1092,1435,121,221,201,722,rm_hit
Main,1,31,COB,CORN,Related,1083,1511,111,211,201,1134.4,rm_hit
Main,1,32,DENIM,JEANS,Related,1042,1434,111,211,201,848.7,rm_hit
Main,1,33,TUNA,FISH,Related,1047,1582,111,211,201,646.4,rm_hit
Main,1,34,CHAPTER,LIE,Unrelated,1079,1476,121,221,201,884.7,rm_hit
Main,1,35,CUP,OUT,Unrelated,951,1555,121,221,201,796.2,rm_hit
Main,1,36,HALT,STOP,Related,910,1406,111,211,201,817.9,rm_hit
Main,1,37,MEN,MONEY,Unrelated,1069,1482,121,221,201,903.5,rm_hit
Main,1,38,DILL,PICKLE,Related,902,1559,111,211,201,705.2,rm_hit
Main,1,39,JIGSAW,PUZZLE,Related,1031,1459,111,211,201,754.1,rm_hit
Main,1,40,DUSK,HEADACHE,Unrelated,915,1524,121,221,201,835.8,rm_hit
Main,1,41,CONSTRUCT,DOLPHIN,Unrelated,982,1560,121,221,201,791,rm_hit
Main,1,42,RODENT,BONE,Unrelated,944,1563,121,221,201,891.3,rm_hit
Main,1,43,SLIP,NO,Unrelated,917,1480,121,221,201,864.9,rm_hit
Main,1,44,DEPART,CRACKER,Unrelated,1094,1504,121,221,201,778.5,rm_hit
Main,1,45,PLANET,MOVIE,Unrelated,1030,1490,121,221,201,1030.2,rm_hit
Main,1,46,CLEVER,EAR,Unrelated,1051,1493,121,221,201,753.2,rm_hit
Main,1,47,DESPISE,HATE,Related,1013,1400,111,211,201,805.5,rm_hit
Main,1,48,BEFORE,AFTER,Related,1004,1485,111,211,201,734.4,rm_hit
Main,1,49,LARGE,BOOK,Unrelated,1071,1551,121,221,201,777.5,rm_hit
Main,1,50,JOG,RUN,Related,1029,1548,111,211,201,611.1,rm_hit
Main,1,51,TROUSERS,PANTS,Related,917,1493,111,211,201,865.5,rm_hit
Main,1,52,PEPPERONI,PIZZA,Related,1008,1448,111,211,201,749.7,rm_hit
Main,1,53,EXHAUSTED,TIRED,Related,1049,1527,111,211,201,578.7,rm_hit
Main,1,54,FLUNK,DAD,Unrelated,984,1541,121,221,201,735.1,rm_hit
Main,1,55,PAIL,DOWN,Unrelated,958,1581,121,221,201,715.4,rm_hit
Main,1,56,BREEZE,SLEEP,Unrelated,986,1537,121,221,201,917.7,rm_hit
Main,1,57,KITTEN,CAT,Related,977,1530,111,211,201,777.9,rm_hit
Main,1,58,DIAMOND,RIGHT,Unrelated,1060,1533,121,221,201,819,rm_hit
Main,1,59,RAYS,BUTTER,Unrelated,900,1448,121,221,201,1042.6,rm_hit
Main,1,60,PHYSICIAN,DOCTOR,Related,1083,1467,111,211,201,798.3,rm_hit
Main,2,61,STING,SHE,Unrelated,960,1569,122,222,201,730.3,rm_hit
Main,2,62,ESCARGOT,TIRED,Unrelated,916,1416,122,222,201,687.9,rm_hit
Main,2,63,WALLET,STOP,Unrelated,998,1534,122,222,201,856.4,rm_hit
Main,2,64,SOBER,FUNNY,Unrelated,984,1484,122,222,201,764.5,rm_hit
Main,2,65,COMPREHEND,UNDERSTAND,Related,954,1413,112,212,201,1132.2,rm_hit
Main,2,66,TARDY,LATE,Related,917,1509,112,212,201,527.7,rm_hit
Main,2,67,HONK,PUZZLE,Unrelated,1024,1463,122,222,201,906.8,rm_hit
Main,2,68,PEANUT,RUN,Unrelated,939,1447,122,222,201,891.7,rm_hit
Main,2,69,DESIRE,DOCTOR,Unrelated,1055,1506,122,222,201,904.7,rm_hit
Main,2,70,BRIDE,GROOM,Related,1077,1457,112,212,201,689.6,rm_hit
Main,2,71,GLANCE,END,Unrelated,934,1506,122,222,201,826.6,rm_hit
Main,2,72,DIME,PICKLE,Unrelated,1076,1529,122,222,201,923.6,rm_hit
Main,2,73,WICK,CANDLE,Related,956,1423,112,212,201,937.2,rm_hit
Main,2,74,YES,NO,Related,951,1472,112,212,201,602.9,rm_hit
Main,2,75,CINEMA,MOVIE,Related,997,1590,112,212,201,704.4,rm_hit
Main,2,76,SALTINE,CRACKER,Related,1008,1516,112,212,201,576.8,rm_hit
Main,2,77,BOX,PANTS,Unrelated,1013,1501,122,222,201,908.4,rm_hit
Main,2,78,SOCK,FLOWERS,Unrelated,1019,1564,122,222,201,808.8,rm_hit
Main,2,79,CASH,MONEY,Related,916,1504,112,212,201,838.5,rm_hit
Main,2,80,YOLK,EGG,Related,992,1527,112,212,201,1019.4,rm_hit
Main,2,81,LIBRARY,BOOK,Related,996,1460,112,212,201,639.3,rm_hit
Main,2,82,ANATOMY,HATE,Unrelated,973,1565,122,222,201,814.3,rm_hit
