BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,2,1,BROTHER,SISTER,Related,918,1594,112,212,201,395.6,rm_hit
Main,2,2,WICK,CANDLE,Related,1076,1413,112,212,201,657.4,rm_hit
Main,2,3,CRIB,BABY,Related,941,1594,112,212,201,347.5,rm_hit
Main,2,4,UP,DOWN,Related,1061,1425,112,212,201,418,rm_hit
Main,2,5,ESCARGOT,TIRED,Unrelated,992,1430,122,222,201,625.6,rm_hit
Main,2,6,QUENCH,THIRST,Related,1073,1508,112,212,201,413.9,rm_hit
Main,2,7,DESIRE,DOCTOR,Unrelated,1051,1533,122,222,201,688.3,rm_hit
Main,2,8,PEANUT,RUN,Unrelated,1088,1525,122,222,201,680.6,rm_hit
Main,2,9,SOBER,FUNNY,Unrelated,1099,1505,122,222,201,632.2,rm_hit
Main,2,10,MARROW,BONE,Related,953,1575,112,212,201,423.3,rm_hit
Main,2,11,GLANCE,END,Unrelated,1061,1546,122,222,201,1118.3,rm_hit
Main,2,12,CRACKLE,TREE,Unrelated,1010,1518,122,222,201,880.5,rm_hit
Main,2,13,BEETLE,FROG,Unrelated,965,1572,122,222,202,878.2,rm_incorrect
Main,2,14,CINEMA,MOVIE,Related,975,1484,112,212,201,624.6,rm_hit
Main,2,15,WALLET,STOP,Unrelated,1097,1404,122,222,201,946.2,rm_hit
Main,2,16,HAPPY,CORN,Unrelated,1055,1582,122,222,201,745.2,rm_hit
Main,2,17,STING,SHE,Unrelated,973,1449,122,222,201,659.5,rm_hit
Main,2,18,ANATOMY,HATE,Unrelated,968,1528,122,222,202,931.8,rm_incorrect
Main,2,19,NAP,SLEEP,Related,1096,1405,112,212,201,667.4,rm_hit
Main,2,20,QUIVER,DUCK,Unrelated,1001,1476,122,222,201,715.7,rm_hit
Main,2,21,PARROT,DRAW,Unrelated,1010,1428,122,222,201,662.9,rm_hit
Main,2,22,LEFT,RIGHT,Related,1057,1465,112,212,201,267.7,rm_hit
Main,2,23,FIB,LIE,Related,1073,1497,112,212,201,278.8,rm_hit
Main,2,24,CROCODILE,ON,Unrelated,1096,1432,122,222,201,367.7,rm_hit
Main,2,25,HINGE,CHEESE,Unrelated,982,1570,122,222,201,632,rm_hit
Main,2,26,TARDY,LATE,Related,907,1514,112,212,201,317.6,rm_hit
Main,2,27,UNSOLVED,AFTER,Unrelated,912,1563,122,222,201,709.3,rm_hit
Main,2,28,MARGARINE,BUTTER,Related,981,1489,112,212,201,408.2,rm_hit
Main,2,29,HAMMER,NAIL,Related,943,1529,112,212,201,479.3,rm_hit
Main,2,30,IMMEDIATE,FIGHT,Unrelated,944,1559,122,222,202,780.8,rm_incorrect
Main,2,31,FROSTING,PIZZA,Unrelated,1072,1506,122,222,201,612.5,rm_hit
Main,2,32,SOCK,FLOWERS,Unrelated,900,1437,122,222,201,700.8,rm_hit
Main,2,33,BRIDE,GROOM,Related,1006,1456,112,212,201,547.7,rm_hit
Main,2,34,SALTINE,CRACKER,Related,916,1578,112,212,201,397.4,rm_hit
Main,2,35,EMPLOYMENT,CAT,Unrelated,908,1563,122,222,201,514.3,rm_hit
Main,2,36,SHOVE,PUSH,Related,1000,1512,112,212,201,308.7,rm_hit
Main,2,37,COMPREHEND,UNDERSTAND,Related,917,1429,112,212,201,380.3,rm_hit
Main,2,38,IN,OUT,Related,1093,1400,112,212,201,224.1,rm_hit
