BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,STONE,WIFE,Unrelated,974,1512,121,221,201,825.1,rm_hit
Main,1,2,CHEDDAR,CHEESE,Related,931,1550,111,211,NaN,-60562.6,rm_miss
Main,1,3,TROUSERS,PANTS,Related,1075,1444,111,211,201,1551.6,rm_hit
Main,1,4,CLEVER,EAR,Unrelated,951,1405,121,221,201,760.6,rm_hit
Main,1,5,DENIM,JEANS,Related,1063,1416,111,211,201,758.2,rm_hit
Main,1,6,DILEMMA,THIRST,Unrelated,1016,1479,121,221,201,773.8,rm_hit
Main,1,7,ROAR,SISTER,Unrelated,972,1434,121,221,201,788.8,rm_hit
Main,1,8,CHAPTER,LIE,Unrelated,905,1422,121,221,201,1024.4,rm_hit
Main,1,9,NOVEL,NAIL,Unrelated,930,1544,121,221,201,994.7,rm_hit
Main,1,10,TOAD,FROG,Related,1010,1489,111,211,201,773.1,rm_hit
Main,1,11,OFF,ON,Related,1055,1456,111,211,201,623.9,rm_hit
Main,1,12,CLIMBER,CLOTHES,Unrelated,986,1538,121,221,202,1159,rm_incorrect
Main,1,13,WEARY,STAY,Unrelated,1076,1486,121,221,201,1007.3,rm_hit
Main,1,14,PEPPERONI,PIZZA,Related,1012,1567,111,211,201,652.2,rm_hit
Main,1,15,QUACK,DUCK,Related,969,1563,111,211,201,592,rm_hit
Main,1,16,WRENCH,BABY,Unrelated,994,1518,121,221,201,858.2,rm_hit
Main,1,17,SKETCH,DRAW,Related,1035,1452,111,211,201,1389.2,rm_hit
Main,1,18,TUNA,FISH,Related,997,1543,111,211,201,588.2,rm_hit
Main,1,19,FOLLOW,PUSH,Unrelated,1032,1427,121,221,201,989.8,rm_hit
Main,1,20,JIGSAW,PUZZLE,Related,1034,1480,111,211,201,628.2,rm_hit
Main,1,21,RODENT,BONE,Unrelated,1074,1576,121,221,201,884.6,rm_hit
Main,1,22,BEGINNING,END,Related,974,1462,111,211,201,599,rm_hit
Main,1,23,COB,CORN,Related,1014,1436,111,211,201,892.6,rm_hit
Main,1,24,SPLASH,HER,Unrelated,1094,1427,121,221,201,880.2,rm_hit
Main,1,25,OAK,TREE,Related,1055,1574,111,211,201,613.9,rm_hit
Main,1,26,TABLE,CHAIR,Related,1058,1567,111,211,201,660.9,rm_hit
Main,1,27,KITTEN,CAT,Related,1041,1471,111,211,201,613.3,rm_hit
Main,1,28,HE,SHE,Related,1063,1519,111,211,201,616.9,rm_hit
Main,1,29,BEFORE,AFTER,Related,1060,1578,111,211,201,538.5,rm_hit
Main,1,30,MEN,MONEY,Unrelated,959,1421,121,221,201,773.5,rm_hit
Main,1,31,CONSTRUCT,DOLPHIN,Unrelated,918,1580,121,221,201,913.1,rm_hit
Main,1,32,EXHAUSTED,TIRED,Related,952,1563,111,211,201,748.7,rm_hit
Main,1,33,EVEN,CANDLE,Unrelated,903,1570,121,221,201,835.1,rm_hit
Main,1,34,SCENT,GROOM,Unrelated,1079,1444,121,221,201,930.1,rm_hit
Main,1,35,RAYS,BUTTER,Unrelated,1031,1403,121,221,201,695.7,rm_hit
Main,1,36,DIAMOND,RIGHT,Unrelated,1008,1513,121,221,201,1032,rm_hit
Main,1,37,BOUQUET,FLOWERS,Related,1047,1587,111,211,201,842.3,rm_hit
Main,1,38,HALT,STOP,Related,1081,1559,111,211,201,848.6,rm_hit
Main,1,39,LOW,HIGH,Related,1050,1588,111,211,201,881,rm_hit
Main,1,40,TOSS,UNDERSTAND,Unrelated,976,1405,121,221,201,851.3,rm_hit
Main,1,41,DESPISE,HATE,Related,988,1435,111,211,201,638.5,rm_hit
Main,1,42,QUIZ,TEST,Related,926,1428,111,211,201,752.7,rm_hit
Main,1,43,LARGE,BOOK,Unrelated,1046,1407,121,221,201,966.3,rm_hit
Main,1,44,FLUNK,DAD,Unrelated,1041,1467,121,221,201,756.7,rm_hit
Main,1,45,PHYSICIAN,DOCTOR,Related,923,1413,111,211,201,845.6,rm_hit
Main,1,46,PLANET,MOVIE,Unrelated,1082,1516,121,221,201,818.6,rm_hit
Main,1,47,SOBER,EGG,Unrelated,1050,1563,121,221,201,852.9,rm_hit
Main,1,48,PAIL,DOWN,Unrelated,942,1503,121,221,201,1041.3,rm_hit
Main,1,49,BRAWL,FIGHT,Related,920,1455,111,211,201,729.5,rm_hit
Main,1,50,JOG,RUN,Related,976,1578,111,211,201,769.1,rm_hit
Main,1,51,AUNT,UNCLE,Related,955,1465,111,211,201,740.7,rm_hit
Main,1,52,DILL,PICKLE,Related,1022,1573,111,211,201,746.5,rm_hit
Main,1,53,SLIP,NO,Unrelated,1023,1510,121,221,201,922.7,rm_hit
Main,1,54,CUP,OUT,Unrelated,945,1541,121,221,201,849.1,rm_hit
Main,1,55,DEPART,CRACKER,Unrelated,932,1518,121,221,201,742.7,rm_hit
Main,1,56,BREEZE,SLEEP,Unrelated,1085,1515,121,221,201,999.6,rm_hit
