BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,BRAWL,FIGHT,Related,1094,1564,111,211,202,1534.3,rm_incorrect
Main,1,2,CLEVER,EAR,Unrelated,927,1480,121,221,201,1067.2,rm_hit
Main,1,3,COB,CORN,Related,1008,1427,111,211,201,1112.2,rm_hit
Main,1,4,BEFORE,AFTER,Related,1005,1447,111,211,201,1559.8,rm_hit
Main,1,5,STONE,WIFE,Unrelated,1075,1423,121,221,201,1003.5,rm_hit
Main,1,6,DENIM,JEANS,Related,1041,1523,111,211,201,1177.1,rm_hit
Main,1,7,QUACK,DUCK,Related,1069,1542,111,211,201,690.1,rm_hit
Main,1,8,LOW,HIGH,Related,926,1597,111,211,201,759.7,rm_hit
Main,1,9,TOSS,UNDERSTAND,Unrelated,1022,1535,121,221,201,792.1,rm_hit
Main,1,10,HALT,STOP,Related,927,1564,111,211,201,526.4,rm_hit
Main,1,11,TROUSERS,PANTS,Related,929,1519,111,211,201,555.4,rm_hit
Main,1,12,HE,SHE,Related,997,1595,111,211,201,391.7,rm_hit
Main,1,13,NOVEL,NAIL,Unrelated,991,1527,121,221,201,840.7,rm_hit
Main,1,14,EXHAUSTED,TIRED,Related,945,1583,111,211,201,406.3,rm_hit
Main,1,15,PEPPERONI,PIZZA,Related,984,1494,111,211,201,568.7,rm_hit
Main,1,16,LARGE,BOOK,Unrelated,909,1565,121,221,201,728.9,rm_hit
Main,1,17,SCENT,GROOM,Unrelated,935,1488,121,221,201,941.8,rm_hit
Main,1,18,TOAD,FROG,Related,993,1560,111,211,201,419.6,rm_hit
Main,1,19,DIAMOND,RIGHT,Unrelated,949,1420,121,221,201,1295.8,rm_hit
Main,1,20,BEGINNING,END,Related,1044,1596,111,211,201,646.2,rm_hit
Main,1,21,OFF,ON,Related,1077,1526,111,211,201,537,rm_hit
Main,1,22,MEN,MONEY,Unrelated,916,1460,121,221,201,712.1,rm_hit
Main,1,23,PHYSICIAN,DOCTOR,Related,948,1409,111,211,201,472.3,rm_hit
Main,1,24,BAIT,LATE,Unrelated,1031,1418,121,221,201,703.3,rm_hit
Main,1,25,SOBER,EGG,Unrelated,1008,1539,121,221,201,702.9,rm_hit
Main,1,26,DILEMMA,THIRST,Unrelated,1075,1404,121,221,201,758.6,rm_hit
Main,1,27,CHAPTER,LIE,Unrelated,977,1409,121,221,201,696.2,rm_hit
Main,1,28,CUP,OUT,Unrelated,951,1545,121,221,201,698.5,rm_hit
Main,1,29,JOG,RUN,Related,985,1564,111,211,201,598,rm_hit
Main,1,30,HILARIOUS,FUNNY,Related,952,1412,111,211,201,554.4,rm_hit
Main,1,31,DEPART,CRACKER,Unrelated,988,1499,121,221,201,899.4,rm_hit
Main,1,32,DESPISE,HATE,Related,907,1536,111,211,202,595.6,rm_incorrect
Main,1,33,TUNA,FISH,Related,1018,1489,111,211,201,798.6,rm_hit
Main,1,34,BOUQUET,FLOWERS,Related,1009,1421,111,211,201,874.9,rm_hit
Main,1,35,TABLE,CHAIR,Related,1055,1545,111,211,201,929.2,rm_hit
Main,1,36,PERSPIRE,SWEAT,Related,1025,1409,111,211,202,986.9,rm_incorrect
Main,1,37,PLANET,MOVIE,Unrelated,1097,1556,121,221,202,839.2,rm_incorrect
Main,1,38,SLIP,NO,Unrelated,1034,1529,121,221,201,808.2,rm_hit
Main,1,39,PAIL,DOWN,Unrelated,1025,1481,121,221,201,682.6,rm_hit
Main,1,40,DILL,PICKLE,Related,954,1417,111,211,201,1482.1,rm_hit
Main,1,41,RAYS,BUTTER,Unrelated,969,1566,121,221,201,797.1,rm_hit
Main,1,42,CONSTRUCT,DOLPHIN,Unrelated,959,1499,121,221,201,1440.7,rm_hit
Main,1,43,JIGSAW,PUZZLE,Related,963,1457,111,211,201,423,rm_hit
Main,1,44,WRENCH,BABY,Unrelated,961,1505,121,221,201,686.5,rm_hit
Main,1,45,WEARY,STAY,Unrelated,965,1517,121,221,201,732.2,rm_hit
Main,1,46,FOLLOW,PUSH,Unrelated,909,1511,121,221,NaN,-199610.3,rm_miss
Main,1,47,ROAR,SISTER,Unrelated,980,1529,121,221,201,1520.8,rm_hit
Main,1,48,AUNT,UNCLE,Related,1077,1596,111,211,201,673.1,rm_hit
Main,1,49,SKETCH,DRAW,Related,1062,1566,111,211,201,567.6,rm_hit
Main,1,50,RODENT,BONE,Unrelated,1089,1539,121,221,201,526.6,rm_hit
Main,1,51,CLIMBER,CLOTHES,Unrelated,952,1592,121,221,202,1003.6,rm_incorrect
Main,1,52,QUIZ,TEST,Related,1053,1470,111,211,201,442.6,rm_hit
Main,1,53,SPLASH,HER,Unrelated,1003,1456,121,221,201,800.9,rm_hit
Main,1,54,FLUNK,DAD,Unrelated,1070,1474,121,221,202,628.5,rm_incorrect
Main,1,55,OAK,TREE,Related,985,1410,111,211,201,746.8,rm_hit
Main,1,56,DUSK,HEADACHE,Unrelated,1002,1561,121,221,201,635.1,rm_hit
Main,1,57,CHEDDAR,CHEESE,Related,1008,1495,111,211,201,508.7,rm_hit
Main,1,58,BREEZE,SLEEP,Unrelated,1091,1519,121,221,201,597.7,rm_hit
Main,1,59,KITTEN,CAT,Related,1096,1412,111,211,201,446.1,rm_hit
Main,1,60,EVEN,CANDLE,Unrelated,1028,1487,121,221,201,557.1,rm_hit
Main,2,61,FIB,LIE,Related,927,1543,112,212,202,797.5,rm_incorrect
Main,2,62,PARROT,DRAW,Unrelated,958,1428,122,222,201,505.9,rm_hit
Main,2,63,CROCODILE,ON,Unrelated,1058,1474,122,222,201,502.8,rm_hit
Main,2,64,SHOVE,PUSH,Related,1079,1440,112,212,201,905.2,rm_hit
Main,2,65,HINGE,CHEESE,Unrelated,920,1447,122,222,201,627.5,rm_hit
Main,2,66,SWIFT,TEST,Unrelated,1009,1426,122,222,201,985.7,rm_hit
Main,2,67,WICK,CANDLE,Related,1058,1419,112,212,201,750.7,rm_hit
Main,2,68,HONK,PUZZLE,Unrelated,1015,1439,122,222,201,774.3,rm_hit
Main,2,69,DIME,PICKLE,Unrelated,933,1578,122,222,201,672,rm_hit
Main,2,70,CASH,MONEY,Related,968,1461,112,212,201,706.9,rm_hit
Main,2,71,FROSTING,PIZZA,Unrelated,999,1564,122,222,201,569.3,rm_hit
Main,2,72,GLANCE,END,Unrelated,915,1597,122,222,201,718.8,rm_hit
Main,2,73,REMAIN,STAY,Related,945,1580,112,212,201,457.9,rm_hit
Main,2,74,PEANUT,RUN,Unrelated,947,1588,122,222,201,525.5,rm_hit
Main,2,75,HUSBAND,WIFE,Related,918,1421,112,212,201,402.5,rm_hit
Main,2,76,DESIRE,DOCTOR,Unrelated,1081,1533,122,222,201,631.4,rm_hit
Main,2,77,IMMEDIATE,FIGHT,Unrelated,1023,1513,122,222,201,665.8,rm_hit
Main,2,78,BOX,PANTS,Unrelated,924,1597,122,222,201,840.7,rm_hit
Main,2,79,HAMMER,NAIL,Related,900,1469,112,212,202,653.7,rm_incorrect
Main,2,80,SALTINE,CRACKER,Related,950,1575,112,212,201,718,rm_hit
Main,2,81,TARDY,LATE,Related,928,1492,112,212,201,479.2,rm_hit
Main,2,82,ANATOMY,HATE,Unrelated,1063,1479,122,222,201,481.5,rm_hit
Main,2,83,MOM,DAD,Related,1082,1478,112,212,201,363.9,rm_hit
