BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,BREEZE,SLEEP,Unrelated,929,1457,121,221,201,536.5,rm_hit
Main,1,2,RAYS,BUTTER,Unrelated,1027,1532,121,221,201,501.5,rm_hit
Main,1,3,OAK,TREE,Related,959,1458,111,211,201,410.5,rm_hit
Main,1,4,EXHAUSTED,TIRED,Related,917,1511,111,211,201,356.1,rm_hit
Main,1,5,TUNA,FISH,Related,1015,1485,111,211,201,319.7,rm_hit
Main,1,6,SLIP,NO,Unrelated,1073,1482,121,221,201,442.1,rm_hit
Main,1,7,LOW,HIGH,Related,1078,1554,111,211,201,772.4,rm_hit
Main,1,8,DIAMOND,RIGHT,Unrelated,906,1449,121,221,201,466.8,rm_hit
Main,1,9,DUSK,HEADACHE,Unrelated,1017,1407,121,221,201,488.9,rm_hit
Main,1,10,TABLE,CHAIR,Related,1053,1520,111,211,201,351.3,rm_hit
Main,1,11,CLEVER,EAR,Unrelated,919,1498,121,221,201,550.9,rm_hit
Main,1,12,BEGINNING,END,Related,953,1546,111,211,201,309.9,rm_hit
Main,1,13,DENIM,JEANS,Related,905,1505,111,211,201,420.9,rm_hit
Main,1,14,QUIZ,TEST,Related,960,1422,111,211,201,330.4,rm_hit
Main,1,15,JOG,RUN,Related,1037,1440,111,211,201,424.9,rm_hit
Main,1,16,KITTEN,CAT,Related,991,1544,111,211,201,343.8,rm_hit
Main,1,17,PLANET,MOVIE,Unrelated,1049,1593,121,221,201,456.8,rm_hit
Main,1,18,CHEDDAR,CHEESE,Related,1085,1520,111,211,201,318.4,rm_hit
Main,1,19,PERSPIRE,SWEAT,Related,1049,1500,111,211,201,432.8,rm_hit
Main,1,20,TOAD,FROG,Related,912,1563,111,211,201,593.1,rm_hit
Main,1,21,PEPPERONI,PIZZA,Related,963,1575,111,211,201,404.3,rm_hit
Main,1,22,TROUSERS,PANTS,Related,1047,1408,111,211,201,412,rm_hit
Main,1,23,JIGSAW,PUZZLE,Related,908,1526,111,211,201,327.6,rm_hit
Main,1,24,QUACK,DUCK,Related,951,1424,111,211,201,349.2,rm_hit
Main,1,25,ROAR,SISTER,Unrelated,1077,1598,121,221,201,721.5,rm_hit
Main,1,26,CUP,OUT,Unrelated,1073,1443,121,221,201,591.4,rm_hit
Main,1,27,EVEN,CANDLE,Unrelated,926,1576,121,221,201,488.9,rm_hit
Main,1,28,AUNT,UNCLE,Related,1094,1549,111,211,201,502.6,rm_hit
Main,1,29,FLUNK,DAD,Unrelated,1062,1557,121,221,201,510.9,rm_hit
Main,1,30,SOBER,EGG,Unrelated,955,1566,121,221,201,507.2,rm_hit
Main,1,31,HALT,STOP,Related,923,1496,111,211,201,792.2,rm_hit
Main,1,32,NOVEL,NAIL,Unrelated,972,1503,121,221,201,502.5,rm_hit
Main,1,33,SCENT,GROOM,Unrelated,931,1535,121,221,201,438.1,rm_hit
Main,1,34,BEFORE,AFTER,Related,980,1459,111,211,201,410.4,rm_hit
Main,1,35,DEPART,CRACKER,Unrelated,1012,1496,121,221,201,608.1,rm_hit
Main,1,36,BAIT,LATE,Unrelated,914,1474,121,221,201,608.4,rm_hit
Main,1,37,WEARY,STAY,Unrelated,917,1418,121,221,201,649.3,rm_hit
Main,1,38,COB,CORN,Related,946,1541,111,211,201,731.6,rm_hit
Main,1,39,SKETCH,DRAW,Related,913,1586,111,211,201,433.9,rm_hit
Main,1,40,SPLASH,HER,Unrelated,928,1469,121,221,201,526.2,rm_hit
Main,1,41,RODENT,BONE,Unrelated,1078,1404,121,221,201,552.3,rm_hit
Main,1,42,BRAWL,FIGHT,Related,900,1444,111,211,201,309.2,rm_hit
Main,1,43,HE,SHE,Related,915,1542,111,211,201,319.5,rm_hit
Main,1,44,HILARIOUS,FUNNY,Related,928,1450,111,211,201,677.2,rm_hit
Main,1,45,PHYSICIAN,DOCTOR,Related,1009,1575,111,211,201,243.6,rm_hit
Main,1,46,DILEMMA,THIRST,Unrelated,1011,1400,121,221,201,484.5,rm_hit
Main,1,47,TOSS,UNDERSTAND,Unrelated,945,1486,121,221,201,471.3,rm_hit
Main,1,48,CLIMBER,CLOTHES,Unrelated,939,1464,121,221,201,455.7,rm_hit
Main,1,49,CHAPTER,LIE,Unrelated,1031,1567,121,221,201,428.6,rm_hit
Main,1,50,OFF,ON,Related,901,1525,111,211,201,299,rm_hit
Main,1,51,FOLLOW,PUSH,Unrelated,1032,1592,121,221,201,629.4,rm_hit
Main,1,52,BOUQUET,FLOWERS,Related,1074,1459,111,211,201,723,rm_hit
Main,1,53,LARGE,BOOK,Unrelated,930,1563,121,221,201,499.9,rm_hit
Main,1,54,DESPISE,HATE,Related,1052,1517,111,211,201,572.4,rm_hit
Main,1,55,WRENCH,BABY,Unrelated,908,1442,121,221,201,451.9,rm_hit
Main,1,56,PAIL,DOWN,Unrelated,914,1491,121,221,201,542.3,rm_hit
Main,1,57,DILL,PICKLE,Related,1060,1562,111,211,201,392.6,rm_hit
Main,1,58,MEN,MONEY,Unrelated,1061,1478,121,221,201,656.2,rm_hit
Main,1,59,STONE,WIFE,Unrelated,983,1503,121,221,201,550.6,rm_hit
Main,1,60,CONSTRUCT,DOLPHIN,Unrelated,985,1470,121,221,201,500.1,rm_hit
Main,2,61,IMMEDIATE,FIGHT,Unrelated,900,1519,122,222,202,547,rm_incorrect
Main,2,62,DESIRE,DOCTOR,Unrelated,1024,1461,122,222,201,534,rm_hit
Main,2,63,MIGRAINE,HEADACHE,Related,994,1427,112,212,201,332.3,rm_hit
Main,2,64,HIM,HER,Related,960,1522,112,212,201,309.3,rm_hit
Main,2,65,CROCODILE,ON,Unrelated,991,1450,122,222,201,505,rm_hit
Main,2,66,REMAIN,STAY,Related,1044,1574,112,212,201,861.9,rm_hit
Main,2,67,HAMMER,NAIL,Related,903,1554,112,212,201,547.4,rm_hit
Main,2,68,MARROW,BONE,Related,1041,1510,112,212,201,436.5,rm_hit
Main,2,69,QUIVER,DUCK,Unrelated,1008,1526,122,222,201,448.1,rm_hit
Main,2,70,FLIPPER,DOLPHIN,Related,926,1556,112,212,201,302.5,rm_hit
Main,2,71,WICK,CANDLE,Related,1093,1511,112,212,202,332.8,rm_incorrect
Main,2,72,MARGARINE,BUTTER,Related,933,1506,112,212,202,563.8,rm_incorrect
Main,2,73,FIB,LIE,Related,1013,1513,112,212,201,239.4,rm_hit
Main,2,74,STING,SHE,Unrelated,1019,1538,122,222,201,619.1,rm_hit
Main,2,75,SOCK,FLOWERS,Unrelated,932,1448,122,222,201,505.3,rm_hit
Main,2,76,BEETLE,FROG,Unrelated,926,1493,122,222,201,563,rm_hit
Main,2,77,UNSOLVED,AFTER,Unrelated,1021,1500,122,222,201,551.4,rm_hit
Main,2,78,BOX,PANTS,Unrelated,1095,1491,122,222,201,496.2,rm_hit
Main,2,79,DAGGER,JEANS,Unrelated,967,1475,122,222,202,310.7,rm_incorrect
Main,2,80,CINEMA,MOVIE,Related,984,1490,112,212,201,700.9,rm_hit
Main,2,81,PROFIT,UNCLE,Unrelated,1096,1561,122,222,201,451.7,rm_hit
Main,2,82,HUSBAND,WIFE,Related,916,1532,112,212,201,329.4,rm_hit
Main,2,83,CRIB,BABY,Related,1014,1459,112,212,201,196.4,rm_hit
Main,2,84,HONK,PUZZLE,Unrelated,948,1433,122,222,202,212.6,rm_incorrect
Main,2,85,CASH,MONEY,Related,1096,1426,112,212,201,464.3,rm_hit
Main,2,86,EMPLOYMENT,CAT,Unrelated,1025,1555,122,222,201,574.5,rm_hit
Main,2,87,HINGE,CHEESE,Unrelated,1077,1418,122,222,201,445.5,rm_hit
Main,2,88,MOM,DAD,Related,980,1523,112,212,201,118.5,rm_hit
Main,2,89,UP,DOWN,Related,961,1410,112,212,201,291.5,rm_hit
Main,2,90,QUENCH,THIRST,Related,982,1597,112,212,201,252.4,rm_hit
Main,2,91,YES,NO,Related,1080,1418,112,212,201,258.1,rm_hit
