BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,SOBER,EGG,Unrelated,922,1542,121,221,201,588.6,rm_hit
Main,1,2,WRENCH,BABY,Unrelated,1099,1538,121,221,201,523.6,rm_hit
Main,1,3,DENIM,JEANS,Related,909,1513,111,211,201,626.6,rm_hit
Main,1,4,BEFORE,AFTER,Related,1021,1519,111,211,201,854.2,rm_hit
Main,1,5,BAIT,LATE,Unrelated,986,1523,121,221,201,771.2,rm_hit
Main,1,6,JIGSAW,PUZZLE,Related,957,1566,111,211,201,712.2,rm_hit
Main,1,7,JOG,RUN,Related,938,1501,111,211,201,509.1,rm_hit
Main,1,8,RAYS,BUTTER,Unrelated,1020,1500,121,221,201,529.4,rm_hit
Main,1,9,DILEMMA,THIRST,Unrelated,987,1459,121,221,201,567.1,rm_hit
Main,1,10,PHYSICIAN,DOCTOR,Related,1018,1473,111,211,201,476.7,rm_hit
Main,1,11,AUNT,UNCLE,Related,910,1548,111,211,201,605.6,rm_hit
Main,1,12,CUP,OUT,Unrelated,1084,1448,121,221,201,469.3,rm_hit
Main,1,13,TOAD,FROG,Related,1008,1500,111,211,201,491.6,rm_hit
Main,1,14,WEARY,STAY,Unrelated,916,1557,121,221,201,508,rm_hit
Main,1,15,QUIZ,TEST,Related,943,1452,111,211,201,504.2,rm_hit
Main,1,16,TUNA,FISH,Related,1073,1596,111,211,201,348,rm_hit
Main,1,17,PERSPIRE,SWEAT,Related,952,1459,111,211,202,487,rm_incorrect
Main,1,18,BOUQUET,FLOWERS,Related,953,1536,111,211,201,423.1,rm_hit
Main,1,19,FOLLOW,PUSH,Unrelated,1087,1473,121,221,201,479.6,rm_hit
Main,1,20,OFF,ON,Related,1098,1406,111,211,201,369.2,rm_hit
Main,1,21,DIAMOND,RIGHT,Unrelated,949,1436,121,221,201,570.1,rm_hit
Main,1,22,SPLASH,HER,Unrelated,937,1482,121,221,201,708.4,rm_hit
Main,1,23,CLEVER,EAR,Unrelated,1060,1467,121,221,201,495.3,rm_hit
Main,1,24,CLIMBER,CLOTHES,Unrelated,908,1546,121,221,201,560.9,rm_hit
Main,1,25,BREEZE,SLEEP,Unrelated,1039,1416,121,221,201,514.6,rm_hit
Main,1,26,MEN,MONEY,Unrelated,1019,1526,121,221,201,546.2,rm_hit
Main,1,27,BRAWL,FIGHT,Related,1021,1548,111,211,201,381.2,rm_hit
Main,1,28,CHAPTER,LIE,Unrelated,1078,1494,121,221,201,436.9,rm_hit
