BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,CONSTRUCT,DOLPHIN,Unrelated,945,1549,121,221,201,990.4,rm_hit
Main,1,2,PHYSICIAN,DOCTOR,Related,927,1535,111,211,201,684.1,rm_hit
Main,1,3,EVEN,CANDLE,Unrelated,978,1582,121,221,201,1016.4,rm_hit
Main,1,4,BAIT,LATE,Unrelated,1058,1412,121,221,201,1063.4,rm_hit
Main,1,5,DUSK,HEADACHE,Unrelated,936,1575,121,221,201,1274.3,rm_hit
Main,1,6,TUNA,FISH,Related,1084,1579,111,211,201,856.7,rm_hit
Main,1,7,DILL,PICKLE,Related,952,1404,111,211,201,1164.4,rm_hit
Main,1,8,SCENT,GROOM,Unrelated,1003,1592,121,221,201,989.3,rm_hit
Main,1,9,SOBER,EGG,Unrelated,917,1480,121,221,201,881.6,rm_hit
Main,1,10,PLANET,MOVIE,Unrelated,1010,1467,121,221,201,1078.6,rm_hit
Main,1,11,HILARIOUS,FUNNY,Related,937,1521,111,211,201,799.5,rm_hit
Main,1,12,WRENCH,BABY,Unrelated,902,1558,121,221,201,871.8,rm_hit
Main,1,13,FOLLOW,PUSH,Unrelated,999,1482,121,221,NaN,-95432.3,rm_miss
Main,1,14,BEGINNING,END,Related,1058,1421,111,211,NaN,-98381.2,rm_miss
Main,1,15,PERSPIRE,SWEAT,Related,976,1451,111,211,NaN,-101180.2,rm_miss
Main,1,16,HE,SHE,Related,946,1493,111,211,201,1295,rm_hit
Main,1,17,RAYS,BUTTER,Unrelated,1055,1490,121,221,201,1066,rm_hit
Main,1,18,MEN,MONEY,Unrelated,1048,1425,121,221,201,1069,rm_hit
Main,1,19,PAIL,DOWN,Unrelated,997,1478,121,221,201,1124.6,rm_hit
Main,1,20,LOW,HIGH,Related,1093,1570,111,211,201,686.2,rm_hit
Main,1,21,OAK,TREE,Related,927,1406,111,211,201,648.9,rm_hit
Main,1,22,CUP,OUT,Unrelated,965,1593,121,221,201,874.5,rm_hit
Main,1,23,DEPART,CRACKER,Unrelated,962,1501,121,221,201,756.8,rm_hit
Main,1,24,QUIZ,TEST,Related,1019,1410,111,211,201,665.2,rm_hit
Main,1,25,JIGSAW,PUZZLE,Related,938,1401,111,211,201,660.1,rm_hit
Main,1,26,CHAPTER,LIE,Unrelated,992,1486,121,221,201,733,rm_hit
Main,1,27,NOVEL,NAIL,Unrelated,984,1581,121,221,201,827.3,rm_hit
Main,1,28,TOSS,UNDERSTAND,Unrelated,1088,1557,121,221,201,1049.6,rm_hit
Main,1,29,BREEZE,SLEEP,Unrelated,921,1483,121,221,201,807.3,rm_hit
Main,1,30,PEPPERONI,PIZZA,Related,984,1586,111,211,201,853.6,rm_hit
Main,1,31,QUACK,DUCK,Related,933,1563,111,211,201,761.9,rm_hit
Main,1,32,SKETCH,DRAW,Related,956,1400,111,211,201,622.2,rm_hit
Main,1,33,OFF,ON,Related,1097,1421,111,211,201,755.2,rm_hit
Main,1,34,DESPISE,HATE,Related,912,1400,111,211,201,614.8,rm_hit
Main,1,35,TROUSERS,PANTS,Related,926,1428,111,211,201,642.3,rm_hit
Main,1,36,STONE,WIFE,Unrelated,1020,1594,121,221,201,809.3,rm_hit
Main,1,37,EXHAUSTED,TIRED,Related,1081,1523,111,211,201,543,rm_hit
Main,1,38,BOUQUET,FLOWERS,Related,1016,1449,111,211,201,514,rm_hit
Main,1,39,ROAR,SISTER,Unrelated,1040,1463,121,221,201,759,rm_hit
Main,1,40,AUNT,UNCLE,Related,1072,1568,111,211,201,786.6,rm_hit
Main,1,41,BEFORE,AFTER,Related,924,1574,111,211,201,535,rm_hit
Main,1,42,CLIMBER,CLOTHES,Unrelated,985,1456,121,221,201,713.4,rm_hit
Main,1,43,JOG,RUN,Related,906,1529,111,211,201,667.6,rm_hit
Main,1,44,RODENT,BONE,Unrelated,925,1590,121,221,201,722,rm_hit
Main,1,45,LARGE,BOOK,Unrelated,1046,1578,121,221,201,801,rm_hit
Main,1,46,TABLE,CHAIR,Related,1074,1408,111,211,201,823.3,rm_hit
Main,1,47,KITTEN,CAT,Related,978,1597,111,211,201,768.2,rm_hit
Main,1,48,FLUNK,DAD,Unrelated,910,1548,121,221,201,780.6,rm_hit
Main,1,49,COB,CORN,Related,1091,1494,111,211,201,587.6,rm_hit
Main,1,50,CLEVER,EAR,Unrelated,988,1593,121,221,201,665.2,rm_hit
Main,1,51,SLIP,NO,Unrelated,909,1502,121,221,201,765.5,rm_hit
Main,1,52,HALT,STOP,Related,1096,1412,111,211,201,550.5,rm_hit
Main,1,53,CHEDDAR,CHEESE,Related,973,1452,111,211,201,711.5,rm_hit
Main,1,54,WEARY,STAY,Unrelated,929,1519,121,221,201,681.1,rm_hit
Main,1,55,TOAD,FROG,Related,990,1449,111,211,201,541.4,rm_hit
Main,1,56,BRAWL,FIGHT,Related,1031,1581,111,211,201,467,rm_hit
Main,1,57,DIAMOND,RIGHT,Unrelated,939,1472,121,221,201,695.3,rm_hit
Main,1,58,DILEMMA,THIRST,Unrelated,1007,1554,121,221,201,804.3,rm_hit
