BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,DILL,PICKLE,Related,948,1478,111,211,201,773.1,rm_hit
Main,1,2,QUIZ,TEST,Related,998,1566,111,211,201,1098.7,rm_hit
Main,1,3,DIAMOND,RIGHT,Unrelated,911,1415,121,221,201,936.4,rm_hit
Main,1,4,BOUQUET,FLOWERS,Related,903,1597,111,211,201,612.6,rm_hit
Main,1,5,PAIL,DOWN,Unrelated,969,1594,121,221,201,1183,rm_hit
Main,1,6,HILARIOUS,FUNNY,Related,916,1496,111,211,201,611.3,rm_hit
Main,1,7,COB,CORN,Related,1088,1532,111,211,201,453,rm_hit
Main,1,8,PERSPIRE,SWEAT,Related,939,1564,111,211,201,587.2,rm_hit
Main,1,9,SCENT,GROOM,Unrelated,991,1539,121,221,202,941.5,rm_incorrect
Main,1,10,TABLE,CHAIR,Related,913,1506,111,211,201,891.9,rm_hit
Main,1,11,FOLLOW,PUSH,Unrelated,1055,1401,121,221,201,1046.2,rm_hit
Main,1,12,SLIP,NO,Unrelated,966,1450,121,221,201,744.4,rm_hit
Main,1,13,KITTEN,CAT,Related,1007,1493,111,211,201,910.8,rm_hit
Main,1,14,LARGE,BOOK,Unrelated,966,1441,121,221,201,797.1,rm_hit
Main,1,15,DUSK,HEADACHE,Unrelated,993,1416,121,221,201,748,rm_hit
Main,1,16,CHEDDAR,CHEESE,Related,974,1464,111,211,201,772.9,rm_hit
Main,1,17,RAYS,BUTTER,Unrelated,992,1573,121,221,201,875.3,rm_hit
Main,1,18,FLUNK,DAD,Unrelated,996,1593,121,221,201,1036.9,rm_hit
Main,1,19,PLANET,MOVIE,Unrelated,1072,1490,121,221,201,1355.2,rm_hit
Main,1,20,LOW,HIGH,Related,996,1584,111,211,201,1000.2,rm_hit
Main,1,21,TROUSERS,PANTS,Related,916,1429,111,211,201,847.6,rm_hit
Main,1,22,BAIT,LATE,Unrelated,1059,1460,121,221,201,612.6,rm_hit
Main,1,23,BEGINNING,END,Related,1043,1463,111,211,201,552.9,rm_hit
Main,1,24,SOBER,EGG,Unrelated,913,1466,121,221,201,634.5,rm_hit
Main,1,25,DESPISE,HATE,Related,1095,1515,111,211,201,700.8,rm_hit
Main,1,26,TUNA,FISH,Related,933,1442,111,211,201,411.8,rm_hit
Main,1,27,CUP,OUT,Unrelated,1067,1503,121,221,201,744.1,rm_hit
Main,1,28,ROAR,SISTER,Unrelated,997,1539,121,221,201,677.1,rm_hit
Main,1,29,OFF,ON,Related,1049,1498,111,211,201,790,rm_hit
Main,1,30,STONE,WIFE,Unrelated,1065,1452,121,221,201,840.3,rm_hit
Main,1,31,SPLASH,HER,Unrelated,1069,1430,121,221,201,988.7,rm_hit
Main,1,32,CHAPTER,LIE,Unrelated,1099,1546,121,221,201,1168.3,rm_hit
Main,1,33,QUACK,DUCK,Related,915,1407,111,211,202,1046.6,rm_incorrect
Main,1,34,SKETCH,DRAW,Related,920,1553,111,211,201,1050.3,rm_hit
Main,1,35,EXHAUSTED,TIRED,Related,1004,1490,111,211,201,757.2,rm_hit
Main,1,36,JOG,RUN,Related,962,1403,111,211,201,859.5,rm_hit
Main,1,37,RODENT,BONE,Unrelated,924,1444,121,221,201,607,rm_hit
Main,1,38,BRAWL,FIGHT,Related,1100,1597,111,211,201,410.1,rm_hit
Main,1,39,CLIMBER,CLOTHES,Unrelated,921,1429,121,221,201,622.4,rm_hit
Main,1,40,HALT,STOP,Related,1061,1445,111,211,201,875.3,rm_hit
Main,1,41,BREEZE,SLEEP,Unrelated,922,1436,121,221,201,642.5,rm_hit
Main,1,42,AUNT,UNCLE,Related,907,1586,111,211,201,813.4,rm_hit
Main,1,43,CONSTRUCT,DOLPHIN,Unrelated,1003,1526,121,221,201,719.1,rm_hit
Main,1,44,HE,SHE,Related,972,1459,111,211,201,716,rm_hit
Main,1,45,DEPART,CRACKER,Unrelated,941,1453,121,221,201,700.3,rm_hit
Main,1,46,WEARY,STAY,Unrelated,1056,1447,121,221,201,1216.6,rm_hit
Main,1,47,OAK,TREE,Related,1096,1529,111,211,201,947.6,rm_hit
Main,1,48,TOAD,FROG,Related,1054,1565,111,211,201,757.3,rm_hit
Main,1,49,PEPPERONI,PIZZA,Related,1096,1523,111,211,201,355.7,rm_hit
Main,1,50,JIGSAW,PUZZLE,Related,1027,1593,111,211,201,422,rm_hit
Main,1,51,BEFORE,AFTER,Related,983,1408,111,211,201,599.6,rm_hit
Main,1,52,DILEMMA,THIRST,Unrelated,1083,1401,121,221,201,612.7,rm_hit
Main,1,53,MEN,MONEY,Unrelated,1025,1565,121,221,201,1404.2,rm_hit
Main,1,54,TOSS,UNDERSTAND,Unrelated,901,1579,121,221,201,962.5,rm_hit
Main,1,55,PHYSICIAN,DOCTOR,Related,1003,1522,111,211,201,732.2,rm_hit
Main,1,56,CLEVER,EAR,Unrelated,968,1596,121,221,201,905.1,rm_hit
Main,1,57,WRENCH,BABY,Unrelated,1067,1585,121,221,201,727.6,rm_hit
Main,1,58,DENIM,JEANS,Related,1080,1457,111,211,201,621.9,rm_hit
Main,1,59,EVEN,CANDLE,Unrelated,1019,1556,121,221,201,795.5,rm_hit
Main,1,60,NOVEL,NAIL,Unrelated,1049,1406,121,221,201,739.8,rm_hit
Main,2,61,CRIB,BABY,Related,1052,1407,112,212,201,805.9,rm_hit
Main,2,62,ANATOMY,HATE,Unrelated,1081,1480,122,222,201,938.8,rm_hit
Main,2,63,MIGRAINE,HEADACHE,Related,930,1600,112,212,201,403.3,rm_hit
Main,2,64,HAMMER,NAIL,Related,1084,1598,112,212,201,377,rm_hit
Main,2,65,IMMEDIATE,FIGHT,Unrelated,962,1554,122,222,201,763.3,rm_hit
Main,2,66,LOBE,EAR,Related,913,1558,112,212,201,1009.5,rm_hit
Main,2,67,CINEMA,MOVIE,Related,985,1488,112,212,201,740.4,rm_hit
Main,2,68,YOLK,EGG,Related,1061,1492,112,212,201,319.5,rm_hit
Main,2,69,WARDROBE,CLOTHES,Related,990,1553,112,212,201,868.5,rm_hit
Main,2,70,SHINGLE,CHAIR,Unrelated,1025,1466,122,222,201,990,rm_hit
Main,2,71,MARGARINE,BUTTER,Related,1004,1501,112,212,201,476.4,rm_hit
Main,2,72,BOX,PANTS,Unrelated,958,1597,122,222,201,1514.7,rm_hit
Main,2,73,SHOVE,PUSH,Related,1021,1479,112,212,201,387.1,rm_hit
Main,2,74,YES,NO,Related,946,1600,112,212,201,362.6,rm_hit
Main,2,75,UNSOLVED,AFTER,Unrelated,945,1445,122,222,201,789.7,rm_hit
Main,2,76,DIME,PICKLE,Unrelated,1004,1463,122,222,201,868.7,rm_hit
Main,2,77,STING,SHE,Unrelated,1013,1436,122,222,201,834.3,rm_hit
Main,2,78,BROOM,SWEAT,Unrelated,1066,1595,122,222,201,719.2,rm_hit
Main,2,79,LIBRARY,BOOK,Related,951,1488,112,212,201,626.2,rm_hit
Main,2,80,BRIDE,GROOM,Related,1087,1401,112,212,201,684.5,rm_hit
Main,2,81,CROCODILE,ON,Unrelated,1029,1471,122,222,201,795.1,rm_hit
Main,2,82,NAP,SLEEP,Related,904,1499,112,212,201,765.3,rm_hit
Main,2,83,SOCK,FLOWERS,Unrelated,1065,1590,122,222,201,1143.6,rm_hit
Main,2,84,SALTINE,CRACKER,Related,1088,1450,112,212,201,525.4,rm_hit
Main,2,85,REMAIN,STAY,Related,901,1471,112,212,201,656.3,rm_hit
Main,2,86,BEETLE,FROG,Unrelated,1044,1559,122,222,201,1252.6,rm_hit
Main,2,87,CASH,MONEY,Related,1019,1586,112,212,201,622.3,rm_hit
Main,2,88,WALLET,STOP,Unrelated,1062,1491,122,222,201,717.3,rm_hit
Main,2,89,HIM,HER,Related,949,1532,112,212,201,540.2,rm_hit
Main,2,90,FLIPPER,DOLPHIN,Related,914,1467,112,212,201,651.3,rm_hit
Main,2,91,SWIFT,TEST,Unrelated,997,1412,122,222,201,737.5,rm_hit
Main,2,92,GLANCE,END,Unrelated,1100,1550,122,222,201,845.8,rm_hit
Main,2,93,COMPREHEND,UNDERSTAND,Related,1023,1532,112,212,201,823.5,rm_hit
Main,2,94,IN,OUT,Related,1017,1504,112,212,201,482.4,rm_hit
