BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,WEARY,STAY,Unrelated,1086,1565,121,221,201,795.8,rm_hit
Main,1,2,COB,CORN,Related,943,1491,111,211,201,648,rm_hit
Main,1,3,BEGINNING,END,Related,1075,1430,111,211,201,1057.7,rm_hit
Main,1,4,SOBER,EGG,Unrelated,927,1420,121,221,201,1003.9,rm_hit
Main,1,5,DILL,PICKLE,Related,1011,1511,111,211,201,483.6,rm_hit
Main,1,6,CHEDDAR,CHEESE,Related,993,1557,111,211,201,495.9,rm_hit
Main,1,7,QUIZ,TEST,Related,946,1418,111,211,201,788.2,rm_hit
Main,1,8,PEPPERONI,PIZZA,Related,969,1467,111,211,201,685.8,rm_hit
Main,1,9,LOW,HIGH,Related,1059,1422,111,211,201,401.5,rm_hit
Main,1,10,CLEVER,EAR,Unrelated,939,1526,121,221,201,1155.7,rm_hit
Main,1,11,LARGE,BOOK,Unrelated,958,1551,121,221,201,1520.6,rm_hit
Main,1,12,SLIP,NO,Unrelated,1078,1538,121,221,201,824.4,rm_hit
Main,1,13,RAYS,BUTTER,Unrelated,1017,1535,121,221,201,1035.3,rm_hit
Main,1,14,FLUNK,DAD,Unrelated,1096,1527,121,221,201,883.1,rm_hit
Main,1,15,TOSS,UNDERSTAND,Unrelated,994,1472,121,221,201,1118.7,rm_hit
Main,1,16,HE,SHE,Related,1001,1599,111,211,201,532.3,rm_hit
Main,1,17,TUNA,FISH,Related,1096,1451,111,211,202,513.3,rm_incorrect
Main,1,18,STONE,WIFE,Unrelated,989,1590,121,221,201,873.1,rm_hit
Main,1,19,OFF,ON,Related,1064,1400,111,211,201,607.3,rm_hit
Main,1,20,DEPART,CRACKER,Unrelated,929,1499,121,221,201,859,rm_hit
Main,1,21,CLIMBER,CLOTHES,Unrelated,1059,1430,121,221,201,861.5,rm_hit
Main,1,22,KITTEN,CAT,Related,1071,1495,111,211,201,818.5,rm_hit
Main,1,23,PERSPIRE,SWEAT,Related,1054,1411,111,211,201,469.4,rm_hit
Main,1,24,FOLLOW,PUSH,Unrelated,1013,1576,121,221,201,693.1,rm_hit
Main,1,25,BAIT,LATE,Unrelated,1060,1577,121,221,201,740.1,rm_hit
Main,1,26,BEFORE,AFTER,Related,1057,1493,111,211,201,483.2,rm_hit
Main,1,27,DILEMMA,THIRST,Unrelated,921,1557,121,221,201,875.4,rm_hit
Main,1,28,DESPISE,HATE,Related,901,1438,111,211,201,937.7,rm_hit
Main,1,29,ROAR,SISTER,Unrelated,936,1598,121,221,201,1171.9,rm_hit
Main,1,30,DIAMOND,RIGHT,Unrelated,984,1474,121,221,201,1053.7,rm_hit
Main,1,31,OAK,TREE,Related,1044,1454,111,211,201,817.3,rm_hit
Main,1,32,DENIM,JEANS,Related,1050,1565,111,211,201,694.3,rm_hit
Main,1,33,JOG,RUN,Related,908,1508,111,211,201,595.9,rm_hit
Main,1,34,BREEZE,SLEEP,Unrelated,1032,1446,121,221,201,982.8,rm_hit
Main,1,35,SCENT,GROOM,Unrelated,1056,1487,121,221,201,779.2,rm_hit
