BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,BRAWL,FIGHT,Related,915,1526,111,211,201,539.5,rm_hit
Main,1,2,AUNT,UNCLE,Related,992,1400,111,211,201,607.1,rm_hit
Main,1,3,EVEN,CANDLE,Unrelated,1026,1512,121,221,201,438.8,rm_hit
Main,1,4,DEPART,CRACKER,Unrelated,983,1442,121,221,201,635.8,rm_hit
Main,1,5,HE,SHE,Related,1049,1440,111,211,201,496.7,rm_hit
Main,1,6,MEN,MONEY,Unrelated,1062,1462,121,221,201,709,rm_hit
Main,1,7,TUNA,FISH,Related,903,1540,111,211,201,927.3,rm_hit
Main,1,8,BREEZE,SLEEP,Unrelated,902,1504,121,221,201,1118.2,rm_hit
Main,1,9,DUSK,HEADACHE,Unrelated,1091,1486,121,221,201,983.2,rm_hit
Main,1,10,NOVEL,NAIL,Unrelated,954,1485,121,221,201,1054.9,rm_hit
Main,1,11,FOLLOW,PUSH,Unrelated,1026,1570,121,221,202,1219.2,rm_incorrect
Main,1,12,BEGINNING,END,Related,1028,1592,111,211,201,436.2,rm_hit
Main,1,13,TABLE,CHAIR,Related,1007,1500,111,211,201,836.5,rm_hit
Main,1,14,RAYS,BUTTER,Unrelated,1023,1454,121,221,201,840.2,rm_hit
Main,1,15,OFF,ON,Related,1016,1539,111,211,201,550.5,rm_hit
Main,1,16,SCENT,GROOM,Unrelated,927,1464,121,221,201,852.1,rm_hit
Main,1,17,DESPISE,HATE,Related,987,1463,111,211,201,755.2,rm_hit
Main,1,18,PAIL,DOWN,Unrelated,1037,1488,121,221,201,960.1,rm_hit
Main,1,19,TOSS,UNDERSTAND,Unrelated,1002,1510,121,221,201,973.7,rm_hit
Main,1,20,CHEDDAR,CHEESE,Related,922,1505,111,211,201,413.3,rm_hit
Main,1,21,DILL,PICKLE,Related,1019,1452,111,211,201,531.8,rm_hit
Main,1,22,CUP,OUT,Unrelated,925,1409,121,221,201,757.5,rm_hit
Main,1,23,WEARY,STAY,Unrelated,1055,1477,121,221,201,987.7,rm_hit
Main,1,24,DILEMMA,THIRST,Unrelated,986,1522,121,221,201,858,rm_hit
Main,1,25,KITTEN,CAT,Related,1049,1600,111,211,201,475.8,rm_hit
Main,1,26,DENIM,JEANS,Related,1062,1414,111,211,201,570.2,rm_hit
Main,1,27,CLIMBER,CLOTHES,Unrelated,927,1436,121,221,202,693,rm_incorrect
Main,1,28,CLEVER,EAR,Unrelated,1088,1507,121,221,201,697.3,rm_hit
Main,1,29,QUACK,DUCK,Related,961,1516,111,211,201,422.9,rm_hit
Main,1,30,LARGE,BOOK,Unrelated,973,1424,121,221,201,1075.9,rm_hit
Main,1,31,TOAD,FROG,Related,1077,1550,111,211,201,544.3,rm_hit
Main,1,32,EXHAUSTED,TIRED,Related,958,1514,111,211,201,452.5,rm_hit
Main,1,33,DIAMOND,RIGHT,Unrelated,977,1520,121,221,201,737.5,rm_hit
Main,1,34,JIGSAW,PUZZLE,Related,1092,1499,111,211,201,905.9,rm_hit
Main,1,35,SKETCH,DRAW,Related,1097,1518,111,211,201,730.9,rm_hit
Main,1,36,TROUSERS,PANTS,Related,900,1499,111,211,201,579.1,rm_hit
Main,1,37,QUIZ,TEST,Related,1085,1434,111,211,201,500.8,rm_hit
Main,1,38,COB,CORN,Related,936,1479,111,211,201,751.1,rm_hit
Main,1,39,RODENT,BONE,Unrelated,947,1577,121,221,201,966.7,rm_hit
Main,1,40,FLUNK,DAD,Unrelated,900,1463,121,221,201,764.3,rm_hit
Main,1,41,BOUQUET,FLOWERS,Related,1022,1410,111,211,201,487.5,rm_hit
Main,1,42,HALT,STOP,Related,980,1407,111,211,201,424.3,rm_hit
Main,1,43,SOBER,EGG,Unrelated,909,1577,121,221,201,651.9,rm_hit
Main,1,44,CONSTRUCT,DOLPHIN,Unrelated,934,1458,121,221,201,816.2,rm_hit
Main,1,45,WRENCH,BABY,Unrelated,1006,1514,121,221,201,813.9,rm_hit
Main,1,46,OAK,TREE,Related,1090,1418,111,211,201,454.2,rm_hit
Main,1,47,BAIT,LATE,Unrelated,1000,1506,121,221,201,638.5,rm_hit
Main,1,48,CHAPTER,LIE,Unrelated,950,1429,121,221,201,732.8,rm_hit
Main,1,49,SLIP,NO,Unrelated,1004,1450,121,221,201,916.4,rm_hit
Main,1,50,BEFORE,AFTER,Related,1023,1426,111,211,201,370,rm_hit
Main,1,51,HILARIOUS,FUNNY,Related,1078,1477,111,211,201,454.4,rm_hit
Main,1,52,STONE,WIFE,Unrelated,919,1404,121,221,201,863.3,rm_hit
Main,1,53,PHYSICIAN,DOCTOR,Related,958,1414,111,211,201,745.5,rm_hit
Main,1,54,SPLASH,HER,Unrelated,1000,1462,121,221,201,593.8,rm_hit
Main,1,55,LOW,HIGH,Related,1004,1554,111,211,201,704.1,rm_hit
Main,1,56,JOG,RUN,Related,965,1451,111,211,201,484.4,rm_hit
Main,1,57,ROAR,SISTER,Unrelated,917,1569,121,221,201,614.7,rm_hit
Main,1,58,PLANET,MOVIE,Unrelated,1066,1536,121,221,202,734.4,rm_incorrect
Main,1,59,PERSPIRE,SWEAT,Related,1082,1553,111,211,201,550.7,rm_hit
Main,1,60,PEPPERONI,PIZZA,Related,930,1428,111,211,201,588.3,rm_hit
Main,2,61,UNSOLVED,AFTER,Unrelated,1092,1504,122,222,201,680,rm_hit
Main,2,62,MARROW,BONE,Related,945,1487,112,212,201,431.1,rm_hit
Main,2,63,UP,DOWN,Related,936,1586,112,212,201,367.3,rm_hit
Main,2,64,YOLK,EGG,Related,1012,1535,112,212,201,856.3,rm_hit
Main,2,65,WICK,CANDLE,Related,930,1410,112,212,201,438.6,rm_hit
Main,2,66,LEFT,RIGHT,Related,1098,1481,112,212,201,418.9,rm_hit
Main,2,67,LOBE,EAR,Related,990,1525,112,212,201,360.5,rm_hit
Main,2,68,MIGRAINE,HEADACHE,Related,941,1404,112,212,201,590.2,rm_hit
Main,2,69,HAPPY,CORN,Unrelated,970,1580,122,222,201,696.5,rm_hit
Main,2,70,HINGE,CHEESE,Unrelated,1071,1548,122,222,201,879.4,rm_hit
Main,2,71,BEETLE,FROG,Unrelated,1020,1548,122,222,201,801.8,rm_hit
Main,2,72,HONK,PUZZLE,Unrelated,1034,1523,122,222,201,843.4,rm_hit
Main,2,73,COMPREHEND,UNDERSTAND,Related,1035,1562,112,212,201,445.8,rm_hit
Main,2,74,HAMMER,NAIL,Related,941,1527,112,212,201,730.1,rm_hit
Main,2,75,BROOM,SWEAT,Unrelated,1064,1429,122,222,201,851.1,rm_hit
Main,2,76,CROCODILE,ON,Unrelated,1023,1410,122,222,201,689.4,rm_hit
Main,2,77,IN,OUT,Related,966,1536,112,212,201,563,rm_hit
Main,2,78,CRACKLE,TREE,Unrelated,901,1531,122,222,201,826.6,rm_hit
Main,2,79,ESCARGOT,TIRED,Unrelated,999,1530,122,222,201,654.3,rm_hit
Main,2,80,ANATOMY,HATE,Unrelated,1038,1419,122,222,201,800.7,rm_hit
Main,2,81,LIBRARY,BOOK,Related,1042,1495,112,212,201,508.2,rm_hit
Main,2,82,SHOVE,PUSH,Related,920,1405,112,212,201,820.4,rm_hit
Main,2,83,WALLET,STOP,Unrelated,1033,1568,122,222,201,747.4,rm_hit
Main,2,84,QUIVER,DUCK,Unrelated,1012,1501,122,222,201,893.1,rm_hit
Main,2,85,DIME,PICKLE,Unrelated,1044,1598,122,222,201,720.1,rm_hit
Main,2,86,FLIPPER,DOLPHIN,Related,988,1588,112,212,201,665.7,rm_hit
Main,2,87,IMMEDIATE,FIGHT,Unrelated,952,1493,122,222,201,693.4,rm_hit
Main,2,88,QUENCH,THIRST,Related,1072,1468,112,212,201,607.7,rm_hit
Main,2,89,FROSTING,PIZZA,Unrelated,1049,1419,122,222,201,724,rm_hit
Main,2,90,TARDY,LATE,Related,1082,1502,112,212,201,673.1,rm_hit
Main,2,91,GLANCE,END,Unrelated,1074,1535,122,222,201,730.7,rm_hit
Main,2,92,SOBER,FUNNY,Unrelated,1020,1537,122,222,201,661.7,rm_hit
Main,2,93,HUSBAND,WIFE,Related,1082,1445,112,212,201,862,rm_hit
Main,2,94,BROTHER,SISTER,Related,964,1406,112,212,201,558.4,rm_hit
