BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,CHAPTER,LIE,Unrelated,993,1548,121,221,201,1035.1,rm_hit
Main,1,2,BEFORE,AFTER,Related,918,1545,111,211,201,625.4,rm_hit
Main,1,3,HE,SHE,Related,1093,1501,111,211,201,880.4,rm_hit
Main,1,4,ROAR,SISTER,Unrelated,1064,1600,121,221,201,666.7,rm_hit
Main,1,5,NOVEL,NAIL,Unrelated,1031,1565,121,221,201,946.4,rm_hit
Main,1,6,TUNA,FISH,Related,1026,1521,111,211,201,515.4,rm_hit
Main,1,7,CLIMBER,CLOTHES,Unrelated,956,1530,121,221,201,993.7,rm_hit
Main,1,8,JIGSAW,PUZZLE,Related,1098,1443,111,211,201,609.4,rm_hit
Main,1,9,SPLASH,HER,Unrelated,1020,1594,121,221,201,631.7,rm_hit
Main,1,10,TOAD,FROG,Related,955,1409,111,211,201,586.7,rm_hit
Main,1,11,EVEN,CANDLE,Unrelated,1028,1593,121,221,201,601.7,rm_hit
Main,1,12,DIAMOND,RIGHT,Unrelated,994,1589,121,221,201,634.7,rm_hit
Main,1,13,OFF,ON,Related,918,1442,111,211,201,495,rm_hit
Main,1,14,OAK,TREE,Related,1057,1421,111,211,201,547.3,rm_hit
Main,1,15,DESPISE,HATE,Related,1021,1461,111,211,201,562.9,rm_hit
Main,1,16,PHYSICIAN,DOCTOR,Related,1072,1496,111,211,201,622.5,rm_hit
Main,1,17,WRENCH,BABY,Unrelated,958,1576,121,221,201,596.8,rm_hit
Main,1,18,BAIT,LATE,Unrelated,933,1487,121,221,201,969.3,rm_hit
Main,1,19,AUNT,UNCLE,Related,974,1451,111,211,201,727.5,rm_hit
Main,1,20,RODENT,BONE,Unrelated,1077,1467,121,221,201,587.1,rm_hit
Main,1,21,RAYS,BUTTER,Unrelated,1066,1485,121,221,201,605.1,rm_hit
Main,1,22,PLANET,MOVIE,Unrelated,997,1471,121,221,201,674.6,rm_hit
Main,1,23,COB,CORN,Related,1046,1515,111,211,201,662.9,rm_hit
Main,1,24,JOG,RUN,Related,903,1502,111,211,201,535.2,rm_hit
Main,1,25,FOLLOW,PUSH,Unrelated,919,1591,121,221,201,879.6,rm_hit
Main,1,26,DEPART,CRACKER,Unrelated,1069,1570,121,221,201,1037.9,rm_hit
Main,1,27,PEPPERONI,PIZZA,Related,901,1497,111,211,201,636.1,rm_hit
Main,1,28,EXHAUSTED,TIRED,Related,1048,1409,111,211,201,599.1,rm_hit
Main,1,29,TOSS,UNDERSTAND,Unrelated,1014,1526,121,221,201,606.7,rm_hit
Main,1,30,BREEZE,SLEEP,Unrelated,974,1556,121,221,201,859.2,rm_hit
Main,1,31,DUSK,HEADACHE,Unrelated,939,1457,121,221,201,624,rm_hit
Main,1,32,LARGE,BOOK,Unrelated,907,1509,121,221,201,849.6,rm_hit
Main,1,33,SLIP,NO,Unrelated,978,1593,121,221,201,702.6,rm_hit
Main,1,34,PAIL,DOWN,Unrelated,933,1457,121,221,201,890.2,rm_hit
Main,1,35,TABLE,CHAIR,Related,919,1597,111,211,201,867.8,rm_hit
Main,1,36,DILEMMA,THIRST,Unrelated,1099,1407,121,221,201,920.9,rm_hit
Main,1,37,TROUSERS,PANTS,Related,1009,1563,111,211,201,592.5,rm_hit
Main,1,38,CONSTRUCT,DOLPHIN,Unrelated,918,1456,121,221,201,646.1,rm_hit
Main,1,39,DENIM,JEANS,Related,1023,1596,111,211,201,635.1,rm_hit
Main,1,40,WEARY,STAY,Unrelated,1074,1541,121,221,201,864.8,rm_hit
Main,1,41,CHEDDAR,CHEESE,Related,1043,1569,111,211,201,602.9,rm_hit
Main,1,42,SOBER,EGG,Unrelated,1030,1445,121,221,201,628,rm_hit
Main,1,43,CUP,OUT,Unrelated,923,1545,121,221,201,685.6,rm_hit
Main,1,44,HALT,STOP,Related,1095,1520,111,211,201,820.7,rm_hit
Main,1,45,BOUQUET,FLOWERS,Related,975,1500,111,211,201,585.6,rm_hit
Main,1,46,STONE,WIFE,Unrelated,969,1506,121,221,201,575.9,rm_hit
Main,1,47,SKETCH,DRAW,Related,1098,1412,111,211,202,904.2,rm_incorrect
Main,1,48,FLUNK,DAD,Unrelated,912,1485,121,221,201,715.8,rm_hit
Main,1,49,MEN,MONEY,Unrelated,1034,1494,121,221,201,1040.2,rm_hit
Main,1,50,CLEVER,EAR,Unrelated,1044,1402,121,221,201,739.1,rm_hit
Main,1,51,LOW,HIGH,Related,1001,1455,111,211,201,724,rm_hit
Main,1,52,QUIZ,TEST,Related,1004,1432,111,211,201,531,rm_hit
Main,1,53,PERSPIRE,SWEAT,Related,975,1446,111,211,201,643.2,rm_hit
Main,1,54,BEGINNING,END,Related,981,1451,111,211,201,658.9,rm_hit
Main,1,55,HILARIOUS,FUNNY,Related,1042,1421,111,211,201,535.8,rm_hit
Main,1,56,BRAWL,FIGHT,Related,913,1457,111,211,201,379.4,rm_hit
Main,1,57,SCENT,GROOM,Unrelated,1074,1527,121,221,202,726.4,rm_incorrect
Main,1,58,KITTEN,CAT,Related,1063,1425,111,211,201,527.4,rm_hit
Main,1,59,QUACK,DUCK,Related,1038,1561,111,211,201,653.7,rm_hit
