BlockName,ListNumber,TrialNumber,PrimeCaption,TargetCaption,Condition,ISIDuration,ITIDuration,PrimePortCode,TargetPortCode,Response,RT,Accuracy
Main,1,1,ROAR,SISTER,Unrelated,962,1578,121,221,201,774.4,rm_hit
Main,1,2,QUIZ,TEST,Related,1086,1506,111,211,201,748.7,rm_hit
Main,1,3,BEFORE,AFTER,Related,1027,1405,111,211,201,567.6,rm_hit
Main,1,4,FOLLOW,PUSH,Unrelated,973,1476,121,221,201,616.6,rm_hit
Main,1,5,SCENT,GROOM,Unrelated,1068,1480,121,221,201,723.6,rm_hit
Main,1,6,PHYSICIAN,DOCTOR,Related,996,1465,111,211,201,561.1,rm_hit
Main,1,7,DESPISE,HATE,Related,943,1534,111,211,201,601.5,rm_hit
Main,1,8,BEGINNING,END,Related,949,1440,111,211,201,399.2,rm_hit
Main,1,9,DIAMOND,RIGHT,Unrelated,1044,1521,121,221,201,636.1,rm_hit
Main,1,10,BAIT,LATE,Unrelated,1011,1486,121,221,201,583.7,rm_hit
Main,1,11,RODENT,BONE,Unrelated,996,1433,121,221,201,773.4,rm_hit
Main,1,12,HILARIOUS,FUNNY,Related,970,1425,111,211,201,510.4,rm_hit
Main,1,13,CLIMBER,CLOTHES,Unrelated,906,1409,121,221,201,593.8,rm_hit
Main,1,14,STONE,WIFE,Unrelated,993,1514,121,221,201,594.2,rm_hit
Main,1,15,BRAWL,FIGHT,Related,1047,1401,111,211,201,700.5,rm_hit
Main,1,16,SPLASH,HER,Unrelated,985,1597,121,221,201,822.1,rm_hit
Main,1,17,OAK,TREE,Related,911,1504,111,211,201,442.3,rm_hit
Main,1,18,AUNT,UNCLE,Related,926,1537,111,211,201,434,rm_hit
Main,1,19,BREEZE,SLEEP,Unrelated,956,1509,121,221,201,615.6,rm_hit
Main,1,20,KITTEN,CAT,Related,1088,1585,111,211,201,384.7,rm_hit
Main,1,21,RAYS,BUTTER,Unrelated,1024,1581,121,221,201,618.8,rm_hit
Main,1,22,QUACK,DUCK,Related,1022,1450,111,211,201,419.9,rm_hit
Main,1,23,PAIL,DOWN,Unrelated,941,1402,121,221,201,740.7,rm_hit
Main,1,24,SOBER,EGG,Unrelated,904,1575,121,221,201,777.6,rm_hit
Main,1,25,TROUSERS,PANTS,Related,1083,1481,111,211,201,552,rm_hit
Main,1,26,OFF,ON,Related,934,1590,111,211,201,512.3,rm_hit
Main,1,27,DILL,PICKLE,Related,1068,1431,111,211,201,590.6,rm_hit
Main,1,28,FLUNK,DAD,Unrelated,1015,1560,121,221,201,541.6,rm_hit
Main,1,29,PLANET,MOVIE,Unrelated,1027,1438,121,221,201,606.6,rm_hit
Main,1,30,WRENCH,BABY,Unrelated,964,1596,121,221,201,671.6,rm_hit
Main,1,31,SLIP,NO,Unrelated,995,1502,121,221,201,592.5,rm_hit
Main,1,32,LARGE,BOOK,Unrelated,1022,1456,121,221,201,580.9,rm_hit
Main,1,33,JOG,RUN,Related,1013,1570,111,211,201,602.5,rm_hit
Main,1,34,CONSTRUCT,DOLPHIN,Unrelated,917,1491,121,221,201,680.2,rm_hit
Main,1,35,PERSPIRE,SWEAT,Related,991,1457,111,211,201,605.1,rm_hit
Main,1,36,EXHAUSTED,TIRED,Related,951,1591,111,211,201,437.4,rm_hit
Main,1,37,COB,CORN,Related,978,1425,111,211,201,559.2,rm_hit
Main,1,38,TOAD,FROG,Related,1008,1569,111,211,201,518.1,rm_hit
Main,1,39,CUP,OUT,Unrelated,908,1418,121,221,201,603.6,rm_hit
Main,1,40,JIGSAW,PUZZLE,Related,1052,1563,111,211,201,538,rm_hit
Main,1,41,LOW,HIGH,Related,1086,1480,111,211,201,757.4,rm_hit
